gene,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,Ctrl_5,Ctrl_6,DMD_1,DMD_2,DMD_3,DMD_4,DMD_5,DMD_6
DMD,55,51,39,52,40,45,10,5,2,4,2,2
DAG1,38,46,45,58,62,27,2,6,3,6,11,3
SGCA,44,43,45,51,46,43,8,5,4,8,2,2
SGCB,55,66,48,57,54,48,8,8,8,10,5,6
UTRN,49,48,56,38,44,62,6,9,9,7,3,10
PAX7,37,61,44,36,61,37,3,4,8,1,11,2
MYF5,44,50,53,55,42,61,7,4,5,4,5,6
MYOD1,55,40,57,49,58,47,8,2,3,3,6,8
MYH2,52,54,51,42,40,52,9,4,6,6,3,5
MYH7,44,55,51,50,53,56,5,3,2,3,7,3
ACTA1,70,44,44,28,62,53,5,4,2,2,11,2
TTN,45,57,46,55,48,53,6,6,6,7,4,9
ATP2A1,43,47,49,54,53,43,5,8,5,10,8,8
RYR1,63,31,48,52,62,40,8,3,7,9,12,3
COL1A1,53,51,54,58,43,63,688,362,564,394,364,901
COL3A1,41,73,51,41,42,50,264,826,557,254,346,531
FN1,45,46,56,34,49,32,309,598,824,243,336,305
POSTN,54,55,58,46,59,77,673,429,301,478,859,686
CTGF,49,61,38,69,44,51,450,896,453,841,467,752
TGFB1,58,46,50,47,56,38,689,641,599,580,442,305
TGFB2,80,40,49,37,49,47,1026,318,520,277,645,286
IL6,35,38,73,36,47,58,465,419,501,375,367,477
TNF,56,48,43,37,62,58,476,270,638,196,720,505
CXCL10,40,50,41,35,46,62,458,428,481,430,547,380
CCL2,32,54,53,44,50,53,370,421,280,402,466,512
PDGFRA,45,35,58,42,53,45,542,283,472,235,629,480
MSTN,33,41,66,46,61,61,280,494,684,445,616,693
FOXO3,60,37,51,57,55,41,696,291,326,374,626,562
TRIM63,54,54,44,50,50,58,51,43,50,59,61,61
FBXO32,36,57,52,44,46,49,43,40,39,33,51,36
NDUFB8,50,36,36,46,51,34,49,35,31,56,40,30
COX5A,35,56,40,58,41,51,40,40,44,69,51,62
FABP4,49,43,40,70,56,52,43,45,29,59,42,46
ADIPOQ,41,45,61,31,55,55,50,40,63,29,53,70
PECAM1,50,44,39,45,48,40,43,47,37,33,47,47
CDH5,48,71,53,48,62,74,36,52,41,55,70,76
CD68,54,55,58,48,56,47,52,67,67,56,66,51
CD163,60,48,47,57,52,57,58,58,59,40,38,72
MRC1,41,51,56,62,44,76,35,62,52,47,32,60
CASQ1,51,40,72,73,52,71,43,39,80,94,50,71
GENE_0000,46,59,65,73,60,45,46,60,65,51,42,34
GENE_0001,54,59,46,56,48,50,41,66,37,69,60,64
GENE_0002,51,48,42,56,46,26,64,41,42,45,54,32
GENE_0003,33,54,38,39,41,71,39,51,43,29,29,81
GENE_0004,56,65,40,53,57,43,53,84,30,64,56,51
GENE_0005,47,55,54,38,36,46,55,68,47,48,28,34
GENE_0006,36,38,62,53,71,40,34,45,61,63,80,33
GENE_0007,44,56,66,39,53,36,55,41,81,34,53,34
GENE_0008,56,69,47,44,53,50,44,63,38,36,43,49
GENE_0009,56,41,45,44,51,39,66,42,55,47,56,42
GENE_0010,54,58,63,48,70,39,52,64,46,58,81,33
GENE_0011,61,29,42,51,60,63,70,20,34,37,70,72
GENE_0012,61,47,55,62,65,48,72,33,55,69,51,52
GENE_0013,46,47,33,43,56,45,34,38,32,46,44,36
GENE_0014,63,89,69,48,35,45,51,75,57,44,38,43
GENE_0015,34,49,45,68,43,47,39,55,34,49,52,35
GENE_0016,43,59,50,54,37,39,33,42,53,56,47,48
GENE_0017,41,54,46,36,48,57,38,49,40,28,37,44
GENE_0018,61,42,46,55,54,48,46,35,40,70,56,62
GENE_0019,59,42,37,66,57,37,54,40,33,53,44,46
GENE_0020,61,55,60,51,49,52,78,39,47,48,39,47
GENE_0021,44,61,45,43,49,51,34,59,38,39,37,48
GENE_0022,39,54,41,34,50,42,50,48,50,41,63,49
GENE_0023,46,43,44,56,58,43,50,52,32,54,75,49
GENE_0024,52,37,46,36,81,58,66,43,56,40,93,58
GENE_0025,53,55,55,42,37,46,66,65,66,46,32,33
GENE_0026,50,53,69,48,54,56,63,55,60,37,64,67
GENE_0027,63,31,42,46,56,41,74,33,38,40,39,49
GENE_0028,65,51,30,62,64,59,48,55,30,62,80,42
GENE_0029,41,56,41,50,49,73,47,40,29,47,36,85
GENE_0030,61,56,50,41,31,31,62,40,36,43,36,29
GENE_0031,37,71,43,47,41,41,38,83,45,39,43,44
GENE_0032,35,48,48,35,41,44,39,51,61,28,52,45
GENE_0033,44,59,36,49,42,38,48,44,33,56,47,27
